BubbleSort, QuickSort, MergeSort
82.696, 0.135, 0.037
57.699, 0.14, 0.037
54.907, 0.121, 0.033
54.393, 0.125, 0.031
54.832, 0.127, 0.032
55.039, 0.128, 0.034
55.057, 0.124, 0.031
54.528, 0.13, 0.031
54.678, 0.127, 0.032
54.53, 0.137, 0.036
55.09, 0.137, 0.034
54.752, 0.126, 0.032
54.629, 0.14, 0.038
54.36, 0.141, 0.036
54.728, 0.141, 0.036
54.558, 0.13, 0.036
54.643, 0.127, 0.031
54.416, 0.14, 0.032
54.264, 0.13, 0.033
54.412, 0.122, 0.03
54.298, 0.122, 0.034
54.577, 0.121, 0.032
54.496, 0.128, 0.032
54.294, 0.127, 0.032
54.178, 0.135, 0.033
54.021, 0.122, 0.033
54.027, 0.121, 0.032
54.19, 0.142, 0.035
54.083, 0.122, 0.031
53.981, 0.127, 0.031
54.607, 0.123, 0.03
54.27, 0.121, 0.031
54.699, 0.122, 0.03
54.21, 0.122, 0.031
54.499, 0.129, 0.031
54.541, 0.124, 0.031
54.582, 0.129, 0.031
55.037, 0.131, 0.032
54.797, 0.124, 0.031
54.805, 0.129, 0.032
54.434, 0.122, 0.03
54.245, 0.121, 0.03
54.519, 0.124, 0.032
54.677, 0.126, 0.03
54.78, 0.15, 0.039
54.446, 0.121, 0.03
54.413, 0.127, 0.035
54.666, 0.121, 0.032
54.573, 0.122, 0.031
54.602, 0.122, 0.032
54.769, 0.146, 0.037
54.717, 0.123, 0.033
55.005, 0.127, 0.031
54.742, 0.134, 0.03
54.395, 0.122, 0.033
54.467, 0.127, 0.031
54.319, 0.123, 0.031
53.92, 0.123, 0.031
54.248, 0.13, 0.032
54.295, 0.123, 0.03
54.62, 0.123, 0.03
54.825, 0.128, 0.031
54.637, 0.123, 0.031
54.772, 0.123, 0.032
54.971, 0.136, 0.031
54.862, 0.13, 0.033
54.317, 0.142, 0.035
54.466, 0.124, 0.032
54.664, 0.124, 0.031
54.79, 0.13, 0.033
54.507, 0.123, 0.031
54.63, 0.121, 0.032
55.277, 0.128, 0.031
54.644, 0.126, 0.032
54.417, 0.122, 0.031
54.45, 0.128, 0.03
54.769, 0.122, 0.03
54.703, 0.145, 0.036
54.982, 0.128, 0.032
54.65, 0.13, 0.031
54.82, 0.141, 0.036
55.007, 0.126, 0.032
54.618, 0.123, 0.03
54.732, 0.122, 0.031
55.069, 0.124, 0.032
55.102, 0.13, 0.037
55.024, 0.127, 0.033
54.631, 0.141, 0.036
54.733, 0.124, 0.034
54.789, 0.122, 0.03
54.885, 0.123, 0.03
54.598, 0.123, 0.033
54.998, 0.121, 0.033
55.023, 0.123, 0.031
54.702, 0.126, 0.03
54.785, 0.124, 0.031
54.815, 0.121, 0.031
55.375, 0.129, 0.039
58.832, 0.125, 0.032
55.363, 0.132, 0.031
55.021, 0.124, 0.032
54.823, 0.141, 0.038
54.754, 0.124, 0.031
54.511, 0.124, 0.031
54.614, 0.142, 0.035
54.577, 0.142, 0.034
54.67, 0.131, 0.035
55.115, 0.123, 0.032
54.162, 0.127, 0.031
54.547, 0.131, 0.032
54.799, 0.127, 0.031
54.768, 0.134, 0.032
54.508, 0.137, 0.032
54.582, 0.123, 0.033
54.538, 0.128, 0.031
54.697, 0.124, 0.032
54.631, 0.14, 0.036
54.463, 0.123, 0.032
54.616, 0.123, 0.035
54.666, 0.125, 0.03
54.593, 0.122, 0.031
54.362, 0.128, 0.032
54.651, 0.127, 0.03
54.401, 0.13, 0.033
54.246, 0.122, 0.031
54.626, 0.142, 0.041
54.354, 0.125, 0.031
54.154, 0.124, 0.03
54.227, 0.124, 0.031
53.871, 0.128, 0.031
54.044, 0.132, 0.032
54.165, 0.13, 0.033
54.361, 0.122, 0.031
53.874, 0.125, 0.03
54, 0.122, 0.03
53.985, 0.122, 0.031
53.626, 0.125, 0.03
54.037, 0.136, 0.031
54.054, 0.129, 0.034
54.344, 0.128, 0.03
53.779, 0.134, 0.033
53.898, 0.124, 0.031
54.352, 0.129, 0.031
53.073, 0.132, 0.034
53.703, 0.13, 0.033
53.973, 0.13, 0.034
53.584, 0.122, 0.03
53.811, 0.123, 0.032
53.896, 0.128, 0.032
53.966, 0.129, 0.031
54.137, 0.132, 0.03
53.775, 0.122, 0.032
54.234, 0.131, 0.031
53.698, 0.128, 0.03
55.352, 0.123, 0.032
53.99, 0.131, 0.033
53.78, 0.122, 0.031
53.703, 0.128, 0.031
53.679, 0.13, 0.031
54.004, 0.123, 0.03
53.738, 0.125, 0.032
53.793, 0.126, 0.034
53.757, 0.125, 0.031
54.049, 0.127, 0.034
54.076, 0.124, 0.032
53.542, 0.125, 0.034
53.61, 0.124, 0.03
53.613, 0.121, 0.031
53.35, 0.129, 0.031
