BubbleSort, QuickSort, MergeSort
29.264, 0.096, 0.019
29.145, 0.096, 0.02
29.061, 0.096, 0.02
29.025, 0.097, 0.019
29, 0.096, 0.019
28.999, 0.096, 0.02
29.011, 0.096, 0.019
29.012, 0.096, 0.019
29.045, 0.094, 0.02
28.989, 0.096, 0.019
29.011, 0.095, 0.019
28.991, 0.095, 0.019
29.012, 0.095, 0.019
29.031, 0.096, 0.019
28.985, 0.096, 0.019
29, 0.095, 0.02
28.991, 0.095, 0.019
28.997, 0.095, 0.02
29.038, 0.095, 0.02
28.997, 0.095, 0.019
28.983, 0.096, 0.022
28.957, 0.095, 0.02
28.976, 0.096, 0.019
28.958, 0.1, 0.019
28.955, 0.096, 0.019
28.936, 0.097, 0.021
29.05, 0.096, 0.018
29.315, 0.096, 0.019
29.008, 0.095, 0.019
29.009, 0.097, 0.019
29.026, 0.097, 0.02
29.016, 0.095, 0.02
29.029, 0.095, 0.02
29.023, 0.097, 0.019
29.039, 0.096, 0.019
29.022, 0.095, 0.02
28.989, 0.098, 0.02
29.02, 0.094, 0.02
29.021, 0.095, 0.019
29.02, 0.096, 0.019
29.021, 0.096, 0.02
28.994, 0.097, 0.019
29.018, 0.096, 0.019
28.991, 0.095, 0.019
28.953, 0.095, 0.019
28.956, 0.095, 0.019
28.938, 0.096, 0.019
28.977, 0.096, 0.019
28.959, 0.095, 0.019
28.951, 0.096, 0.019
29.007, 0.096, 0.019
29.067, 0.095, 0.019
29.033, 0.097, 0.018
29.035, 0.095, 0.019
29.04, 0.096, 0.019
28.999, 0.095, 0.019
29.104, 0.101, 0.018
29.037, 0.098, 0.02
29.331, 0.097, 0.019
29.02, 0.096, 0.02
29.017, 0.096, 0.019
28.936, 0.096, 0.019
29.011, 0.095, 0.019
29.025, 0.095, 0.019
29.095, 0.095, 0.019
29.081, 0.096, 0.019
29.004, 0.095, 0.024
29.009, 0.096, 0.02
29.02, 0.095, 0.019
29.05, 0.096, 0.019
28.998, 0.097, 0.018
29.032, 0.095, 0.02
29.052, 0.101, 0.018
29.018, 0.095, 0.019
29.014, 0.099, 0.019
28.994, 0.096, 0.019
28.922, 0.099, 0.019
28.933, 0.095, 0.02
29.081, 0.095, 0.02
29.007, 0.096, 0.019
29.024, 0.096, 0.019
29.198, 0.097, 0.02
28.993, 0.096, 0.019
28.984, 0.096, 0.019
28.973, 0.095, 0.019
28.976, 0.096, 0.019
28.996, 0.095, 0.02
29.054, 0.094, 0.02
29.18, 0.096, 0.019
28.978, 0.102, 0.019
28.988, 0.097, 0.019
28.955, 0.101, 0.02
29.038, 0.102, 0.02
29.062, 0.096, 0.019
28.984, 0.095, 0.019
28.963, 0.095, 0.02
28.991, 0.095, 0.019
28.981, 0.096, 0.02
28.968, 0.095, 0.019
29.009, 0.096, 0.019
28.986, 0.096, 0.019
28.957, 0.097, 0.019
28.923, 0.096, 0.019
28.907, 0.096, 0.02
28.945, 0.096, 0.019
28.935, 0.096, 0.02
28.957, 0.094, 0.019
28.994, 0.096, 0.019
28.984, 0.096, 0.019
29.011, 0.098, 0.019
28.948, 0.097, 0.019
28.94, 0.097, 0.02
28.947, 0.096, 0.018
28.916, 0.096, 0.019
28.935, 0.095, 0.02
28.954, 0.096, 0.019
28.976, 0.096, 0.019
28.973, 0.096, 0.019
29.036, 0.096, 0.019
29.215, 0.095, 0.02
29.036, 0.096, 0.019
29, 0.095, 0.019
29.002, 0.096, 0.019
29.015, 0.097, 0.019
29.019, 0.095, 0.02
29.029, 0.095, 0.02
29.013, 0.096, 0.019
28.993, 0.095, 0.019
29.024, 0.096, 0.019
28.999, 0.098, 0.019
28.985, 0.096, 0.02
29.038, 0.096, 0.018
28.993, 0.095, 0.019
29.019, 0.095, 0.019
28.991, 0.095, 0.019
29.03, 0.1, 0.019
29.032, 0.102, 0.02
28.954, 0.096, 0.019
28.94, 0.096, 0.019
28.964, 0.096, 0.018
28.929, 0.095, 0.02
28.956, 0.096, 0.019
29.002, 0.096, 0.019
28.987, 0.098, 0.019
29.002, 0.097, 0.02
29.058, 0.097, 0.019
28.995, 0.097, 0.021
28.995, 0.096, 0.019
28.996, 0.096, 0.02
29.03, 0.096, 0.019
29.202, 0.103, 0.021
28.996, 0.095, 0.02
28.948, 0.096, 0.019
28.973, 0.096, 0.018
29.014, 0.095, 0.019
28.969, 0.096, 0.019
28.963, 0.095, 0.019
28.949, 0.096, 0.019
28.974, 0.095, 0.019
28.952, 0.095, 0.02
28.979, 0.095, 0.02
28.96, 0.097, 0.019
29.019, 0.096, 0.019
28.946, 0.095, 0.02
28.951, 0.096, 0.019
28.928, 0.096, 0.019
28.964, 0.096, 0.021
28.966, 0.096, 0.018
28.925, 0.096, 0.019
28.913, 0.095, 0.019
28.978, 0.095, 0.019
29.043, 0.097, 0.019
28.929, 0.096, 0.019
28.934, 0.1, 0.019
28.968, 0.095, 0.019
28.97, 0.095, 0.019
28.95, 0.097, 0.019
28.928, 0.097, 0.019
28.978, 0.095, 0.019
28.964, 0.096, 0.019
29.043, 0.097, 0.019
29.201, 0.095, 0.02
28.997, 0.095, 0.02
28.992, 0.099, 0.019
28.999, 0.097, 0.019
29.025, 0.095, 0.02
29.013, 0.097, 0.02
29.023, 0.095, 0.02
29.03, 0.095, 0.019
28.989, 0.096, 0.019
29.015, 0.096, 0.019
28.983, 0.096, 0.019
28.967, 0.095, 0.022
29.006, 0.095, 0.019
29.037, 0.095, 0.023
28.996, 0.096, 0.019
29.009, 0.096, 0.019
28.988, 0.095, 0.02
29.002, 0.095, 0.019
28.972, 0.096, 0.018
28.989, 0.096, 0.019
28.937, 0.096, 0.02
28.954, 0.095, 0.019
28.983, 0.095, 0.019
28.994, 0.096, 0.018
28.968, 0.095, 0.019
28.939, 0.096, 0.019
29.041, 0.095, 0.02
28.936, 0.096, 0.019
28.96, 0.095, 0.019
28.977, 0.096, 0.019
28.974, 0.096, 0.019
29.177, 0.097, 0.019
28.95, 0.096, 0.02
28.955, 0.097, 0.02
28.938, 0.095, 0.02
28.943, 0.095, 0.02
28.972, 0.096, 0.02
28.968, 0.096, 0.019
28.968, 0.096, 0.019
28.942, 0.095, 0.019
28.982, 0.097, 0.019
28.929, 0.096, 0.019
28.934, 0.095, 0.019
29.029, 0.096, 0.019
29.004, 0.103, 0.02
28.955, 0.1, 0.021
29.03, 0.096, 0.019
29.012, 0.096, 0.019
29.007, 0.097, 0.018
29.002, 0.097, 0.019
29.003, 0.097, 0.02
29.002, 0.096, 0.019
28.996, 0.098, 0.019
28.986, 0.096, 0.02
29.026, 0.095, 0.019
28.989, 0.096, 0.019
29.007, 0.094, 0.019
29.199, 0.095, 0.019
28.983, 0.095, 0.019
29.021, 0.095, 0.019
29.002, 0.097, 0.019
29.025, 0.096, 0.019
29.269, 0.096, 0.019
29.056, 0.096, 0.019
28.986, 0.096, 0.018
29.012, 0.104, 0.019
28.995, 0.096, 0.019
28.959, 0.094, 0.019
28.993, 0.099, 0.02
28.996, 0.095, 0.019
28.998, 0.096, 0.019
29.015, 0.095, 0.02
28.981, 0.096, 0.019
28.976, 0.095, 0.019
29.056, 0.096, 0.019
28.958, 0.096, 0.018
28.965, 0.097, 0.019
29.015, 0.097, 0.019
28.991, 0.096, 0.019
28.955, 0.095, 0.019
28.973, 0.094, 0.021
28.973, 0.094, 0.02
28.99, 0.095, 0.019
28.938, 0.095, 0.022
28.938, 0.095, 0.02
28.986, 0.096, 0.019
28.967, 0.094, 0.021
28.949, 0.096, 0.019
28.959, 0.095, 0.019
28.947, 0.098, 0.019
29.031, 0.096, 0.019
29.013, 0.099, 0.019
29.045, 0.095, 0.019
29.31, 0.095, 0.019
29.031, 0.095, 0.019
29.029, 0.101, 0.02
29.009, 0.1, 0.019
28.973, 0.097, 0.019
28.934, 0.097, 0.019
28.902, 0.095, 0.019
28.942, 0.097, 0.018
28.963, 0.095, 0.019
28.912, 0.096, 0.018
28.916, 0.095, 0.019
28.936, 0.097, 0.02
29, 0.096, 0.022
28.942, 0.095, 0.02
28.948, 0.096, 0.019
28.925, 0.095, 0.019
28.938, 0.095, 0.019
28.983, 0.096, 0.018
29.373, 0.096, 0.018
29.604, 0.096, 0.025
29.964, 0.097, 0.019
29.732, 0.096, 0.019
29.791, 0.097, 0.02
29.839, 0.099, 0.023
29.682, 0.099, 0.022
29.795, 0.105, 0.02
29.792, 0.097, 0.02
29.833, 0.099, 0.021
29.841, 0.098, 0.02
29.751, 0.1, 0.02
29.93, 0.101, 0.019
29.842, 0.103, 0.026
29.729, 0.099, 0.02
29.795, 0.099, 0.021
29.832, 0.099, 0.019
29.725, 0.097, 0.019
29.788, 0.098, 0.021
29.708, 0.096, 0.019
29.469, 0.099, 0.025
29.5, 0.098, 0.018
29.534, 0.097, 0.021
29.657, 0.097, 0.02
29.769, 0.098, 0.02
29.791, 0.097, 0.02
29.856, 0.103, 0.02
30.172, 0.098, 0.02
29.174, 0.095, 0.019
28.991, 0.095, 0.019
29.04, 0.096, 0.019
29, 0.096, 0.019
29.468, 0.096, 0.025
29.833, 0.097, 0.02
29.05, 0.096, 0.019
29.044, 0.095, 0.019
28.99, 0.096, 0.02
28.982, 0.095, 0.019
28.991, 0.096, 0.019
28.959, 0.096, 0.019
28.961, 0.095, 0.019
28.984, 0.095, 0.02
29.033, 0.097, 0.019
29.305, 0.097, 0.019
28.968, 0.095, 0.019
29.01, 0.094, 0.02
28.996, 0.099, 0.019
28.979, 0.097, 0.02
29.016, 0.096, 0.02
28.963, 0.098, 0.018
28.936, 0.095, 0.02
29.007, 0.096, 0.019
29.006, 0.098, 0.019
29.025, 0.096, 0.019
28.996, 0.096, 0.019
29.015, 0.095, 0.019
28.964, 0.096, 0.019
29.004, 0.095, 0.02
28.969, 0.096, 0.019
28.984, 0.097, 0.018
28.977, 0.095, 0.019
28.972, 0.095, 0.019
29.001, 0.096, 0.019
28.972, 0.096, 0.018
28.979, 0.096, 0.019
28.939, 0.095, 0.02
28.938, 0.096, 0.022
28.962, 0.096, 0.018
28.927, 0.096, 0.019
28.974, 0.097, 0.019
29.012, 0.096, 0.019
29.027, 0.096, 0.018
29.002, 0.096, 0.019
29.031, 0.096, 0.019
29.27, 0.096, 0.019
29.033, 0.096, 0.019
29.041, 0.095, 0.019
28.946, 0.096, 0.018
28.999, 0.095, 0.019
29.032, 0.097, 0.02
29.01, 0.097, 0.019
28.996, 0.095, 0.019
29.026, 0.096, 0.019
29.002, 0.095, 0.02
28.984, 0.097, 0.019
28.985, 0.096, 0.019
29.048, 0.095, 0.019
29.018, 0.095, 0.02
28.984, 0.096, 0.019
29.003, 0.095, 0.02
29.005, 0.096, 0.019
29.011, 0.096, 0.019
28.986, 0.096, 0.019
29.026, 0.096, 0.019
29.005, 0.097, 0.02
29.029, 0.099, 0.021
29.028, 0.095, 0.02
29.001, 0.095, 0.019
28.976, 0.097, 0.019
29.078, 0.096, 0.019
29.035, 0.095, 0.019
29.035, 0.096, 0.018
28.977, 0.096, 0.018
29.005, 0.095, 0.02
29.019, 0.097, 0.018
29.336, 0.095, 0.019
28.988, 0.097, 0.018
29.014, 0.095, 0.02
28.955, 0.095, 0.02
28.965, 0.095, 0.019
28.926, 0.097, 0.019
28.933, 0.095, 0.019
28.947, 0.096, 0.019
28.951, 0.096, 0.019
29.052, 0.096, 0.018
28.933, 0.095, 0.019
28.978, 0.095, 0.019
29.019, 0.096, 0.019
29.006, 0.095, 0.02
29.004, 0.095, 0.02
29.008, 0.095, 0.018
28.987, 0.095, 0.02
28.953, 0.095, 0.02
29, 0.095, 0.019
29.078, 0.096, 0.019
29.12, 0.095, 0.019
28.99, 0.096, 0.018
29.015, 0.097, 0.019
28.978, 0.097, 0.019
29.02, 0.096, 0.019
28.952, 0.099, 0.025
28.974, 0.099, 0.019
28.981, 0.096, 0.018
29.013, 0.096, 0.019
28.962, 0.096, 0.018
28.992, 0.095, 0.02
29.272, 0.096, 0.02
29.042, 0.095, 0.019
29.009, 0.096, 0.019
29.037, 0.096, 0.019
29.05, 0.095, 0.02
29.052, 0.097, 0.019
29.018, 0.095, 0.02
29.004, 0.096, 0.019
29.116, 0.097, 0.019
28.997, 0.095, 0.023
28.965, 0.095, 0.02
29.084, 0.096, 0.019
29.012, 0.096, 0.018
29, 0.096, 0.019
28.999, 0.1, 0.021
28.969, 0.096, 0.02
28.98, 0.096, 0.018
29.002, 0.096, 0.021
29.051, 0.097, 0.018
28.986, 0.096, 0.019
28.931, 0.096, 0.019
28.947, 0.096, 0.019
28.987, 0.096, 0.019
28.93, 0.096, 0.019
28.942, 0.096, 0.019
28.961, 0.096, 0.019
28.978, 0.095, 0.02
28.986, 0.096, 0.019
28.99, 0.099, 0.019
29.021, 0.095, 0.02
29.251, 0.103, 0.019
29.081, 0.094, 0.019
29.015, 0.098, 0.019
29.007, 0.096, 0.019
28.943, 0.096, 0.019
28.986, 0.095, 0.019
28.986, 0.096, 0.019
29.011, 0.096, 0.018
29.01, 0.097, 0.018
29.003, 0.095, 0.019
28.996, 0.095, 0.02
29.013, 0.095, 0.019
28.95, 0.096, 0.019
29.007, 0.095, 0.019
28.956, 0.096, 0.019
28.98, 0.096, 0.019
28.977, 0.097, 0.019
29.002, 0.095, 0.019
28.994, 0.097, 0.022
29.09, 0.096, 0.019
29.004, 0.096, 0.019
28.984, 0.096, 0.019
29.011, 0.098, 0.019
28.98, 0.095, 0.02
28.97, 0.096, 0.019
28.976, 0.095, 0.02
28.978, 0.096, 0.019
29.001, 0.096, 0.019
29.015, 0.095, 0.019
28.995, 0.096, 0.019
28.965, 0.095, 0.019
29.24, 0.096, 0.019
29.023, 0.098, 0.019
28.983, 0.095, 0.019
28.993, 0.096, 0.02
29.012, 0.1, 0.021
28.986, 0.097, 0.019
29.014, 0.095, 0.02
29.032, 0.097, 0.019
29.045, 0.095, 0.019
28.966, 0.097, 0.019
28.978, 0.096, 0.019
28.983, 0.096, 0.019
28.975, 0.095, 0.021
29.026, 0.095, 0.02
28.978, 0.095, 0.018
28.985, 0.095, 0.019
28.955, 0.095, 0.019
28.966, 0.097, 0.019
28.955, 0.095, 0.019
28.981, 0.096, 0.019
29.003, 0.097, 0.019
28.991, 0.095, 0.019
29.03, 0.098, 0.019
29.007, 0.096, 0.02
28.895, 0.095, 0.019
28.948, 0.097, 0.019
29.004, 0.096, 0.018
28.971, 0.097, 0.019
28.958, 0.096, 0.019
28.919, 0.097, 0.019
29.004, 0.096, 0.019
29.259, 0.097, 0.02
28.99, 0.096, 0.019
28.979, 0.095, 0.019
28.983, 0.095, 0.019
28.948, 0.095, 0.019
28.957, 0.097, 0.019
28.959, 0.095, 0.019
28.96, 0.094, 0.02
28.972, 0.096, 0.019
28.942, 0.095, 0.018
28.951, 0.096, 0.019
29.003, 0.096, 0.019
28.944, 0.095, 0.019
28.987, 0.098, 0.019
28.967, 0.097, 0.019
29.009, 0.096, 0.019
28.98, 0.096, 0.019
29.007, 0.096, 0.019
29.014, 0.096, 0.02
29.063, 0.095, 0.019
28.993, 0.095, 0.019
28.962, 0.096, 0.019
28.942, 0.096, 0.019
28.977, 0.096, 0.019
29.004, 0.095, 0.02
28.988, 0.095, 0.019
29.064, 0.094, 0.02
29.042, 0.097, 0.019
29.03, 0.095, 0.018
29.044, 0.096, 0.019
28.96, 0.095, 0.019
29.386, 0.095, 0.018
28.969, 0.099, 0.018
28.997, 0.096, 0.02
29.043, 0.096, 0.019
29.031, 0.095, 0.02
29.002, 0.095, 0.019
29.038, 0.096, 0.018
29.018, 0.097, 0.02
29.022, 0.095, 0.019
29.007, 0.095, 0.019
28.995, 0.095, 0.019
29.016, 0.096, 0.018
29.028, 0.097, 0.019
29.046, 0.095, 0.019
28.997, 0.096, 0.019
28.982, 0.096, 0.019
28.99, 0.096, 0.019
28.981, 0.096, 0.019
28.966, 0.098, 0.019
28.999, 0.099, 0.02
29.049, 0.095, 0.019
28.985, 0.096, 0.018
28.963, 0.097, 0.019
28.953, 0.096, 0.019
28.976, 0.096, 0.019
29.005, 0.097, 0.018
28.991, 0.095, 0.02
29.031, 0.095, 0.019
28.985, 0.095, 0.019
28.974, 0.101, 0.02
28.945, 0.097, 0.018
29.156, 0.096, 0.018
28.939, 0.096, 0.019
28.993, 0.095, 0.018
28.971, 0.097, 0.02
28.952, 0.096, 0.019
28.934, 0.095, 0.019
29.017, 0.096, 0.019
29.024, 0.095, 0.02
29.011, 0.096, 0.02
28.97, 0.096, 0.019
28.97, 0.096, 0.019
28.976, 0.097, 0.018
28.977, 0.095, 0.019
29.065, 0.096, 0.019
28.979, 0.097, 0.019
28.933, 0.095, 0.021
28.95, 0.102, 0.019
28.922, 0.095, 0.02
29.01, 0.097, 0.019
28.983, 0.096, 0.019
28.986, 0.095, 0.02
28.955, 0.096, 0.019
28.984, 0.095, 0.019
28.981, 0.095, 0.02
28.981, 0.095, 0.02
29, 0.095, 0.019
28.986, 0.095, 0.019
29.022, 0.096, 0.022
29.014, 0.096, 0.018
29.022, 0.095, 0.02
29.009, 0.097, 0.019
29.191, 0.095, 0.019
28.989, 0.096, 0.019
28.969, 0.096, 0.019
28.968, 0.095, 0.019
28.99, 0.097, 0.019
28.965, 0.096, 0.019
28.943, 0.097, 0.019
28.996, 0.095, 0.019
28.965, 0.096, 0.018
29.003, 0.095, 0.02
29.052, 0.096, 0.02
29.077, 0.095, 0.019
29.024, 0.097, 0.021
29.039, 0.096, 0.019
29.011, 0.098, 0.02
28.951, 0.095, 0.019
29.013, 0.095, 0.019
29.003, 0.095, 0.019
29.014, 0.095, 0.02
29.025, 0.096, 0.019
28.968, 0.095, 0.019
28.934, 0.095, 0.019
28.943, 0.095, 0.019
28.947, 0.095, 0.019
28.961, 0.095, 0.019
29.153, 0.096, 0.019
29.006, 0.096, 0.019
28.971, 0.098, 0.019
29.015, 0.096, 0.019
28.995, 0.097, 0.019
28.999, 0.098, 0.019
29.295, 0.097, 0.019
28.996, 0.098, 0.02
29.028, 0.102, 0.021
29.015, 0.096, 0.019
28.962, 0.097, 0.019
28.932, 0.096, 0.019
28.941, 0.094, 0.019
28.973, 0.101, 0.023
29.04, 0.096, 0.019
28.949, 0.095, 0.018
28.967, 0.095, 0.019
28.974, 0.096, 0.019
29.024, 0.097, 0.019
29.069, 0.095, 0.019
29.038, 0.095, 0.019
28.969, 0.095, 0.019
28.981, 0.096, 0.019
28.964, 0.096, 0.019
29.033, 0.096, 0.019
29.027, 0.097, 0.02
29.017, 0.095, 0.021
29.132, 0.096, 0.02
29.029, 0.097, 0.018
29.034, 0.096, 0.019
29.034, 0.097, 0.018
29.032, 0.097, 0.018
29.06, 0.095, 0.02
29.003, 0.096, 0.02
29.024, 0.096, 0.019
29.026, 0.095, 0.02
29.048, 0.096, 0.019
29.365, 0.095, 0.019
29.083, 0.096, 0.019
29.058, 0.095, 0.02
29.01, 0.097, 0.019
29.036, 0.095, 0.019
29.076, 0.1, 0.018
29.008, 0.097, 0.019
28.994, 0.095, 0.019
29.023, 0.096, 0.019
28.963, 0.096, 0.019
28.979, 0.096, 0.019
28.997, 0.096, 0.019
29.018, 0.094, 0.02
29.004, 0.095, 0.02
28.978, 0.097, 0.019
29.062, 0.097, 0.019
28.937, 0.096, 0.019
29.031, 0.096, 0.019
29.009, 0.096, 0.019
29.088, 0.094, 0.02
29.031, 0.095, 0.019
28.972, 0.095, 0.02
28.998, 0.096, 0.019
29.082, 0.097, 0.019
29.039, 0.096, 0.019
29.008, 0.095, 0.02
29.076, 0.095, 0.019
28.938, 0.096, 0.019
28.961, 0.096, 0.019
29.029, 0.096, 0.019
28.961, 0.095, 0.019
29.187, 0.095, 0.019
28.974, 0.098, 0.019
29.006, 0.096, 0.019
28.989, 0.095, 0.019
28.997, 0.096, 0.019
29.003, 0.096, 0.02
29.04, 0.095, 0.019
28.995, 0.095, 0.02
28.98, 0.095, 0.02
29.013, 0.095, 0.02
28.981, 0.096, 0.019
28.962, 0.095, 0.02
29.08, 0.098, 0.019
29.058, 0.095, 0.02
29.026, 0.095, 0.019
29.045, 0.095, 0.02
28.972, 0.095, 0.02
28.997, 0.095, 0.019
28.96, 0.098, 0.02
28.943, 0.095, 0.019
28.956, 0.094, 0.019
28.949, 0.096, 0.019
28.988, 0.096, 0.019
28.989, 0.097, 0.019
28.955, 0.1, 0.022
28.987, 0.096, 0.019
28.981, 0.095, 0.019
29.079, 0.096, 0.02
29.029, 0.095, 0.019
29.016, 0.096, 0.019
29.009, 0.095, 0.018
29.246, 0.096, 0.019
28.962, 0.096, 0.019
29.078, 0.096, 0.019
29.029, 0.096, 0.019
29.036, 0.094, 0.019
28.97, 0.095, 0.019
29.024, 0.095, 0.019
28.981, 0.099, 0.02
29.031, 0.094, 0.019
28.991, 0.094, 0.019
29.048, 0.099, 0.019
28.999, 0.096, 0.018
28.986, 0.099, 0.02
28.988, 0.096, 0.019
29.007, 0.096, 0.019
29.019, 0.097, 0.018
29.003, 0.096, 0.02
28.99, 0.098, 0.019
28.99, 0.095, 0.019
29.001, 0.095, 0.019
29.017, 0.097, 0.019
28.993, 0.098, 0.019
28.996, 0.096, 0.02
29.006, 0.097, 0.019
28.956, 0.094, 0.019
28.984, 0.096, 0.02
29.031, 0.095, 0.019
28.971, 0.095, 0.021
29.021, 0.096, 0.02
