BubbleSort, QuickSort, MergeSort
23.957, 0.047, 0.018
23.7, 0.046, 0.017
23.732, 0.046, 0.018
23.965, 0.046, 0.017
23.274, 0.044, 0.018
23.303, 0.044, 0.018
23.293, 0.047, 0.017
23.616, 0.045, 0.018
23.625, 0.046, 0.017
23.497, 0.045, 0.018
23.702, 0.046, 0.018
23.808, 0.044, 0.018
23.818, 0.045, 0.018
23.91, 0.047, 0.018
23.734, 0.044, 0.018
23.701, 0.044, 0.019
23.603, 0.043, 0.018
23.603, 0.044, 0.017
23.223, 0.045, 0.017
23.591, 0.046, 0.018
23.639, 0.045, 0.018
23.604, 0.045, 0.018
23.506, 0.044, 0.016
23.653, 0.045, 0.018
23.791, 0.045, 0.017
23.619, 0.044, 0.017
23.499, 0.043, 0.019
23.811, 0.045, 0.018
23.576, 0.044, 0.017
23.643, 0.046, 0.017
23.951, 0.047, 0.018
23.722, 0.044, 0.018
23.389, 0.046, 0.017
23.747, 0.046, 0.018
23.808, 0.046, 0.018
23.646, 0.044, 0.018
23.446, 0.045, 0.018
23.427, 0.057, 0.018
23.692, 0.045, 0.018
24.1, 0.047, 0.017
23.674, 0.044, 0.018
23.682, 0.047, 0.017
23.565, 0.045, 0.018
23.378, 0.044, 0.018
23.369, 0.044, 0.017
23.526, 0.049, 0.019
23.645, 0.045, 0.018
23.474, 0.044, 0.018
23.32, 0.043, 0.018
23.324, 0.045, 0.017
23.318, 0.049, 0.017
23.334, 0.044, 0.017
23.37, 0.044, 0.017
23.33, 0.044, 0.018
23.272, 0.044, 0.018
23.639, 0.044, 0.018
23.603, 0.044, 0.018
23.599, 0.047, 0.017
23.554, 0.044, 0.017
23.589, 0.044, 0.017
23.525, 0.044, 0.018
23.653, 0.045, 0.018
23.422, 0.05, 0.017
23.842, 0.055, 0.018
24.006, 0.044, 0.017
23.703, 0.049, 0.017
23.691, 0.044, 0.018
23.728, 0.045, 0.017
23.701, 0.048, 0.018
23.74, 0.047, 0.017
23.377, 0.045, 0.016
23.613, 0.043, 0.019
23.67, 0.043, 0.018
23.757, 0.046, 0.017
23.587, 0.044, 0.017
23.793, 0.047, 0.018
24.276, 0.049, 0.018
24.107, 0.044, 0.018
23.701, 0.044, 0.017
23.582, 0.045, 0.017
23.66, 0.045, 0.017
23.661, 0.045, 0.018
23.778, 0.046, 0.017
23.767, 0.045, 0.018
23.752, 0.046, 0.018
24.011, 0.045, 0.018
23.698, 0.046, 0.017
23.753, 0.045, 0.018
23.767, 0.046, 0.017
23.733, 0.045, 0.017
23.762, 0.05, 0.017
23.979, 0.046, 0.018
23.967, 0.045, 0.018
23.691, 0.046, 0.017
23.779, 0.044, 0.018
23.519, 0.048, 0.018
23.703, 0.047, 0.018
23.697, 0.043, 0.019
23.613, 0.051, 0.018
23.812, 0.045, 0.018
23.799, 0.045, 0.018
23.847, 0.044, 0.018
23.721, 0.046, 0.016
23.64, 0.045, 0.018
23.832, 0.049, 0.017
23.931, 0.046, 0.017
23.755, 0.044, 0.018
23.662, 0.044, 0.018
23.469, 0.047, 0.018
23.852, 0.045, 0.018
23.723, 0.045, 0.017
23.892, 0.046, 0.018
23.46, 0.044, 0.017
23.775, 0.045, 0.017
23.677, 0.044, 0.017
23.718, 0.044, 0.017
23.837, 0.047, 0.018
24.376, 0.047, 0.022
23.865, 0.046, 0.018
23.812, 0.044, 0.017
23.759, 0.044, 0.017
23.959, 0.046, 0.017
23.896, 0.045, 0.017
23.791, 0.045, 0.018
24.28, 0.045, 0.018
23.599, 0.045, 0.018
23.712, 0.045, 0.018
24.019, 0.046, 0.018
23.963, 0.053, 0.017
23.801, 0.044, 0.017
23.68, 0.049, 0.018
23.903, 0.045, 0.018
23.697, 0.044, 0.017
23.608, 0.048, 0.018
23.651, 0.045, 0.017
23.576, 0.044, 0.018
23.889, 0.046, 0.017
23.577, 0.045, 0.018
23.824, 0.046, 0.019
23.927, 0.045, 0.019
23.643, 0.051, 0.017
23.581, 0.044, 0.017
23.893, 0.044, 0.018
23.9, 0.051, 0.018
23.74, 0.044, 0.017
23.587, 0.045, 0.017
23.843, 0.045, 0.018
23.794, 0.044, 0.017
23.71, 0.045, 0.017
23.682, 0.049, 0.017
23.797, 0.045, 0.018
23.852, 0.05, 0.016
23.956, 0.047, 0.019
23.699, 0.044, 0.017
23.967, 0.045, 0.018
23.908, 0.046, 0.017
23.923, 0.044, 0.018
23.82, 0.045, 0.017
23.838, 0.046, 0.018
23.975, 0.046, 0.018
23.715, 0.044, 0.017
23.611, 0.052, 0.018
24.517, 0.05, 0.018
24.351, 0.046, 0.017
23.877, 0.051, 0.02
23.547, 0.044, 0.019
23.664, 0.044, 0.018
23.57, 0.045, 0.018
23.733, 0.044, 0.018
23.633, 0.044, 0.016
23.346, 0.056, 0.018
23.774, 0.045, 0.017
23.751, 0.047, 0.018
23.754, 0.044, 0.018
23.47, 0.044, 0.018
23.546, 0.046, 0.018
23.533, 0.046, 0.019
23.617, 0.046, 0.018
23.973, 0.046, 0.017
23.771, 0.045, 0.019
23.838, 0.044, 0.017
23.558, 0.047, 0.018
23.652, 0.046, 0.017
23.469, 0.048, 0.018
23.489, 0.045, 0.018
23.651, 0.045, 0.018
23.264, 0.045, 0.017
23.637, 0.046, 0.017
23.768, 0.048, 0.018
23.99, 0.045, 0.017
23.213, 0.046, 0.017
23.549, 0.044, 0.017
23.498, 0.044, 0.017
23.53, 0.049, 0.017
23.737, 0.045, 0.017
23.873, 0.043, 0.018
23.476, 0.045, 0.018
23.124, 0.045, 0.018
24.017, 0.045, 0.018
24.501, 0.045, 0.018
23.973, 0.051, 0.019
23.516, 0.044, 0.018
23.631, 0.046, 0.018
23.672, 0.046, 0.018
23.868, 0.045, 0.018
23.543, 0.043, 0.018
23.742, 0.045, 0.018
23.66, 0.045, 0.017
23.873, 0.045, 0.017
24.365, 0.046, 0.018
24.541, 0.045, 0.018
24.308, 0.047, 0.017
23.567, 0.044, 0.017
23.526, 0.045, 0.017
23.724, 0.047, 0.017
23.811, 0.05, 0.017
23.961, 0.046, 0.018
23.906, 0.046, 0.017
23.52, 0.044, 0.017
23.56, 0.043, 0.017
23.101, 0.044, 0.017
23.112, 0.048, 0.018
23.802, 0.045, 0.018
23.327, 0.045, 0.018
23.812, 0.046, 0.018
23.646, 0.045, 0.019
23.666, 0.046, 0.018
23.293, 0.045, 0.018
23.237, 0.045, 0.018
23.995, 0.047, 0.018
23.726, 0.045, 0.017
23.448, 0.043, 0.019
23.75, 0.047, 0.018
23.165, 0.044, 0.018
23.523, 0.045, 0.017
23.172, 0.044, 0.018
23.165, 0.046, 0.018
23.773, 0.045, 0.017
23.738, 0.044, 0.018
23.141, 0.045, 0.017
23.144, 0.044, 0.018
23.097, 0.044, 0.017
23.103, 0.044, 0.018
23.101, 0.044, 0.018
23.185, 0.043, 0.018
23.036, 0.044, 0.017
23.416, 0.045, 0.017
23.696, 0.049, 0.018
23.98, 0.046, 0.017
23.49, 0.044, 0.017
23.804, 0.046, 0.017
23.899, 0.044, 0.019
23.595, 0.046, 0.016
23.803, 0.047, 0.017
23.881, 0.044, 0.017
23.199, 0.044, 0.017
23.081, 0.045, 0.017
23.567, 0.045, 0.018
23.852, 0.046, 0.018
23.424, 0.045, 0.018
23.404, 0.045, 0.017
23.44, 0.046, 0.018
23.945, 0.044, 0.018
23.647, 0.044, 0.017
23.327, 0.044, 0.018
23.569, 0.046, 0.018
23.54, 0.045, 0.017
23.6, 0.045, 0.018
23.485, 0.046, 0.017
23.493, 0.045, 0.017
23.487, 0.045, 0.017
23.479, 0.045, 0.018
23.481, 0.045, 0.017
23.376, 0.044, 0.018
22.98, 0.045, 0.017
23.449, 0.049, 0.018
23.667, 0.046, 0.017
23.529, 0.044, 0.018
23.951, 0.048, 0.018
23.549, 0.047, 0.017
23.828, 0.05, 0.019
23.597, 0.043, 0.018
23.821, 0.048, 0.018
23.83, 0.045, 0.018
23.634, 0.043, 0.017
23.547, 0.047, 0.018
23.987, 0.045, 0.018
23.883, 0.047, 0.018
23.848, 0.048, 0.019
23.878, 0.045, 0.017
23.895, 0.046, 0.018
23.893, 0.045, 0.016
23.876, 0.048, 0.017
23.883, 0.049, 0.018
23.812, 0.045, 0.018
23.753, 0.046, 0.018
24.039, 0.045, 0.018
24.098, 0.046, 0.018
24.09, 0.046, 0.017
24.065, 0.047, 0.018
24.06, 0.046, 0.018
23.968, 0.044, 0.018
24.084, 0.049, 0.019
24.033, 0.045, 0.018
23.914, 0.05, 0.017
23.833, 0.045, 0.019
23.846, 0.045, 0.018
23.876, 0.045, 0.018
23.744, 0.05, 0.018
23.896, 0.045, 0.017
23.939, 0.045, 0.017
23.883, 0.045, 0.018
23.906, 0.046, 0.018
23.884, 0.046, 0.019
23.854, 0.047, 0.017
23.88, 0.046, 0.018
23.863, 0.045, 0.018
23.842, 0.046, 0.018
23.853, 0.046, 0.018
23.9, 0.044, 0.018
23.818, 0.046, 0.018
23.707, 0.045, 0.019
23.86, 0.046, 0.018
23.733, 0.046, 0.017
23.964, 0.045, 0.017
23.933, 0.045, 0.018
23.572, 0.044, 0.017
24.141, 0.046, 0.018
23.894, 0.046, 0.019
23.711, 0.045, 0.018
23.694, 0.044, 0.018
23.698, 0.045, 0.017
23.924, 0.045, 0.018
24.037, 0.045, 0.017
23.954, 0.047, 0.017
24.087, 0.045, 0.018
23.941, 0.045, 0.018
23.758, 0.044, 0.018
23.934, 0.046, 0.018
23.883, 0.045, 0.017
23.825, 0.047, 0.018
24.082, 0.046, 0.018
24.024, 0.046, 0.018
23.935, 0.046, 0.018
24.089, 0.047, 0.018
24.13, 0.047, 0.018
23.745, 0.045, 0.017
23.813, 0.046, 0.017
24.032, 0.045, 0.018
23.855, 0.045, 0.018
23.836, 0.048, 0.018
23.474, 0.046, 0.019
23.59, 0.045, 0.017
23.48, 0.045, 0.017
23.591, 0.046, 0.018
23.893, 0.047, 0.018
24.006, 0.047, 0.017
23.608, 0.047, 0.018
23.396, 0.046, 0.018
23.298, 0.046, 0.017
23.461, 0.044, 0.017
23.445, 0.045, 0.017
23.529, 0.044, 0.017
23.36, 0.044, 0.017
23.55, 0.046, 0.017
23.656, 0.048, 0.017
23.809, 0.049, 0.018
23.561, 0.045, 0.017
23.332, 0.044, 0.017
23.465, 0.044, 0.017
23.187, 0.048, 0.017
23.589, 0.048, 0.017
23.18, 0.043, 0.018
23.629, 0.05, 0.019
23.952, 0.044, 0.017
23.974, 0.044, 0.018
23.507, 0.044, 0.018
23.659, 0.044, 0.017
23.705, 0.049, 0.017
23.608, 0.045, 0.018
23.428, 0.045, 0.017
23.678, 0.045, 0.018
24.412, 0.047, 0.018
24.112, 0.045, 0.017
23.444, 0.044, 0.018
23.677, 0.043, 0.018
23.521, 0.043, 0.019
23.519, 0.044, 0.017
23.424, 0.044, 0.017
