BubbleSort, QuickSort, MergeSort
0.185, 0.001, 0.002
0.179, 0.001, 0.001
0.183, 0.001, 0.002
0.178, 0.001, 0.002
0.185, 0.001, 0.002
0.181, 0.001, 0.002
0.18, 0.001, 0.002
0.179, 0.001, 0.002
0.177, 0.001, 0.001
0.178, 0.001, 0.001
0.177, 0.002, 0.001
0.18, 0.001, 0.001
0.177, 0.001, 0.002
0.177, 0.001, 0.001
0.176, 0.001, 0.002
0.177, 0.001, 0.002
0.177, 0.001, 0.002
0.177, 0.001, 0.002
0.177, 0.001, 0.001
0.178, 0.001, 0.002
0.176, 0.001, 0.002
0.176, 0.001, 0.002
0.178, 0.001, 0.002
0.182, 0.001, 0.002
0.178, 0.001, 0.002
0.187, 0.002, 0.002
0.176, 0.001, 0.002
0.179, 0.001, 0.002
0.184, 0.001, 0.002
0.18, 0.001, 0.002
0.178, 0.001, 0.001
0.178, 0.001, 0.002
0.177, 0.001, 0.002
0.179, 0.001, 0.002
0.178, 0.001, 0.001
0.177, 0.002, 0.001
0.177, 0.001, 0.002
0.178, 0.001, 0.001
0.176, 0.001, 0.002
0.178, 0.001, 0.002
0.177, 0.001, 0.002
0.176, 0.001, 0.002
0.177, 0.001, 0.002
0.177, 0.001, 0.001
0.179, 0.001, 0.002
0.181, 0.001, 0.002
0.179, 0.001, 0.002
0.178, 0.001, 0.002
0.184, 0.001, 0.001
0.183, 0.001, 0.002
0.185, 0.001, 0.002
0.182, 0.001, 0.002
0.185, 0.001, 0.002
0.181, 0.001, 0.001
0.181, 0.001, 0.001
0.184, 0.001, 0.002
0.18, 0.001, 0.002
0.186, 0.001, 0.001
0.193, 0.001, 0.002
0.194, 0.001, 0.001
0.186, 0.001, 0.001
0.192, 0.001, 0.002
0.18, 0.001, 0.002
0.184, 0.001, 0.002
0.184, 0.001, 0.001
0.181, 0.002, 0.001
0.185, 0.001, 0.001
0.181, 0.001, 0.002
0.186, 0.001, 0.002
0.184, 0.001, 0.002
0.185, 0.001, 0.002
0.182, 0.001, 0.002
0.181, 0.001, 0.002
0.19, 0.001, 0.002
0.185, 0.001, 0.002
0.181, 0.001, 0.001
0.18, 0.001, 0.001
0.181, 0.001, 0.001
0.179, 0.001, 0.002
0.185, 0.001, 0.002
0.185, 0.001, 0.002
0.182, 0.001, 0.001
0.183, 0.001, 0.002
0.178, 0.001, 0.002
0.18, 0.001, 0.002
0.182, 0.001, 0.001
0.186, 0.001, 0.001
0.186, 0.001, 0.002
0.178, 0.001, 0.002
0.181, 0.001, 0.001
0.186, 0.001, 0.002
0.178, 0.001, 0.002
0.176, 0.001, 0.002
0.181, 0.001, 0.002
0.183, 0.001, 0.001
0.183, 0.001, 0.002
0.181, 0.001, 0.001
0.191, 0.002, 0.001
0.193, 0.001, 0.002
0.182, 0.001, 0.001
0.188, 0.001, 0.002
0.18, 0.001, 0.002
0.182, 0.001, 0.001
0.184, 0.001, 0.003
0.19, 0.001, 0.002
0.181, 0.001, 0.001
0.177, 0.001, 0.002
0.187, 0.001, 0.002
0.182, 0.001, 0.001
0.186, 0.001, 0.001
0.188, 0.001, 0.002
0.188, 0.001, 0.001
0.18, 0.001, 0.002
0.186, 0.001, 0.002
0.178, 0.001, 0.002
0.191, 0.001, 0.002
0.19, 0.001, 0.002
0.185, 0.001, 0.002
0.187, 0.001, 0.001
