BubbleSort, QuickSort, MergeSort
0.238, 0.001, 0.002
0.245, 0.001, 0.002
0.238, 0.002, 0.002
0.235, 0.001, 0.002
0.24, 0.001, 0.002
0.24, 0.001, 0.002
0.239, 0.002, 0.002
0.239, 0.002, 0.002
0.235, 0.002, 0.002
0.245, 0.002, 0.001
0.234, 0.002, 0.002
0.243, 0.001, 0.002
0.235, 0.002, 0.002
0.238, 0.002, 0.003
0.238, 0.002, 0.002
0.237, 0.001, 0.002
0.236, 0.002, 0.001
0.237, 0.002, 0.001
0.235, 0.002, 0.001
0.234, 0.002, 0.001
0.242, 0.002, 0.002
0.235, 0.002, 0.002
0.243, 0.001, 0.002
0.238, 0.001, 0.002
0.242, 0.001, 0.002
0.242, 0.002, 0.001
0.237, 0.002, 0.002
0.236, 0.001, 0.002
0.235, 0.002, 0.002
0.236, 0.002, 0.002
0.236, 0.002, 0.002
0.241, 0.002, 0.002
0.238, 0.001, 0.002
0.236, 0.001, 0.002
0.236, 0.002, 0.001
0.235, 0.001, 0.002
0.238, 0.002, 0.002
0.236, 0.002, 0.002
0.235, 0.001, 0.002
0.236, 0.002, 0.001
0.242, 0.001, 0.001
0.235, 0.002, 0.001
0.24, 0.001, 0.002
0.24, 0.002, 0.002
0.234, 0.002, 0.001
0.236, 0.001, 0.002
0.234, 0.002, 0.001
0.234, 0.001, 0.002
0.237, 0.002, 0.002
0.238, 0.002, 0.001
0.238, 0.001, 0.003
0.235, 0.002, 0.002
0.242, 0.002, 0.002
0.235, 0.002, 0.002
0.237, 0.001, 0.002
0.236, 0.002, 0.001
0.237, 0.002, 0.002
0.233, 0.002, 0.002
0.24, 0.002, 0.002
0.237, 0.002, 0.002
0.24, 0.002, 0.002
0.235, 0.001, 0.002
0.237, 0.002, 0.002
0.235, 0.002, 0.002
0.243, 0.002, 0.002
0.236, 0.001, 0.002
0.238, 0.002, 0.001
0.235, 0.002, 0.002
0.234, 0.002, 0.002
0.235, 0.001, 0.002
0.237, 0.002, 0.001
0.241, 0.001, 0.002
0.242, 0.002, 0.002
0.237, 0.002, 0.001
0.234, 0.002, 0.002
0.235, 0.001, 0.002
0.239, 0.001, 0.002
0.237, 0.002, 0.002
0.239, 0.002, 0.001
0.234, 0.002, 0.002
0.24, 0.002, 0.001
0.238, 0.002, 0.001
0.234, 0.002, 0.002
0.237, 0.001, 0.002
0.237, 0.001, 0.002
0.236, 0.001, 0.002
0.235, 0.001, 0.002
0.237, 0.002, 0.002
0.241, 0.002, 0.001
0.242, 0.002, 0.001
0.235, 0.001, 0.002
0.252, 0.002, 0.002
0.235, 0.002, 0.002
0.239, 0.002, 0.002
0.239, 0.001, 0.002
0.234, 0.001, 0.002
0.236, 0.002, 0.002
0.237, 0.001, 0.003
0.235, 0.001, 0.002
0.238, 0.001, 0.003
0.237, 0.002, 0.002
0.235, 0.001, 0.002
0.239, 0.002, 0.002
0.235, 0.002, 0.002
0.245, 0.001, 0.002
0.236, 0.002, 0.002
0.241, 0.002, 0.002
0.237, 0.001, 0.002
0.237, 0.003, 0.002
0.237, 0.002, 0.002
0.236, 0.002, 0.002
0.245, 0.001, 0.003
0.235, 0.002, 0.002
0.237, 0.002, 0.001
0.236, 0.002, 0
0.241, 0.002, 0.002
0.238, 0.001, 0.002
0.238, 0.002, 0.002
0.236, 0.001, 0.002
0.241, 0.002, 0.001
0.237, 0.002, 0.002
0.242, 0.001, 0.002
0.235, 0.002, 0.001
0.236, 0.002, 0.002
0.238, 0.002, 0.001
0.236, 0.002, 0.002
0.238, 0.001, 0.002
0.235, 0.001, 0.002
0.234, 0.002, 0.002
0.239, 0.001, 0.002
0.243, 0.001, 0.002
0.236, 0.001, 0.002
0.235, 0.002, 0.002
0.238, 0.001, 0.002
0.239, 0.001, 0.002
0.237, 0.002, 0.001
0.235, 0.002, 0.002
0.238, 0.002, 0.002
0.236, 0.001, 0.002
0.236, 0.001, 0.001
0.239, 0.002, 0.002
0.24, 0.001, 0.002
0.237, 0.001, 0.002
0.233, 0.002, 0.002
0.237, 0.001, 0.002
0.236, 0.001, 0.002
0.24, 0.002, 0.002
0.235, 0.002, 0.002
0.236, 0.002, 0.001
0.237, 0.002, 0.002
0.236, 0.002, 0.002
0.235, 0.001, 0.002
0.235, 0.002, 0.002
0.235, 0.001, 0.002
0.237, 0.001, 0.002
0.235, 0.002, 0.002
0.237, 0.002, 0.002
0.238, 0.001, 0.001
0.239, 0.002, 0.002
0.242, 0.002, 0.002
0.236, 0.002, 0.002
0.238, 0.002, 0.002
0.241, 0.002, 0.003
0.237, 0.001, 0.002
0.242, 0.002, 0.002
0.236, 0.002, 0.002
0.237, 0.001, 0.003
0.237, 0.001, 0.002
0.236, 0.002, 0.002
0.237, 0.002, 0.001
0.237, 0.002, 0.002
0.239, 0.001, 0.002
0.237, 0.001, 0.002
0.239, 0.003, 0.001
0.239, 0.001, 0.002
0.236, 0.002, 0.002
0.244, 0.002, 0.001
0.236, 0.002, 0.002
0.236, 0.002, 0.001
0.236, 0.002, 0.002
0.236, 0.001, 0.002
0.241, 0.001, 0.002
0.238, 0.001, 0.002
0.237, 0.002, 0.002
0.248, 0.002, 0.002
0.236, 0.002, 0.002
0.236, 0.002, 0.001
0.237, 0.001, 0.002
0.236, 0.002, 0.002
0.24, 0.002, 0.001
0.236, 0.001, 0.002
0.236, 0.002, 0.002
0.237, 0.001, 0.002
0.237, 0.002, 0.002
0.235, 0.001, 0.002
0.234, 0.002, 0.002
0.246, 0.001, 0.002
0.235, 0.002, 0.001
0.238, 0.002, 0.002
0.236, 0.002, 0.002
0.239, 0.002, 0.002
0.236, 0.001, 0.002
0.236, 0.002, 0.002
0.235, 0.002, 0.002
0.243, 0.001, 0.002
0.238, 0.002, 0.002
0.237, 0.001, 0.002
0.236, 0.002, 0.001
0.246, 0.002, 0.002
0.236, 0.002, 0.001
0.234, 0.002, 0.002
0.236, 0.002, 0.001
0.239, 0.002, 0.001
0.242, 0.001, 0.002
0.234, 0.002, 0.002
0.237, 0.002, 0.001
0.241, 0.002, 0.002
0.235, 0.002, 0.002
0.235, 0.002, 0.002
0.239, 0.001, 0.002
0.235, 0.002, 0.002
0.237, 0.001, 0.002
0.233, 0.002, 0.002
0.234, 0.001, 0.002
0.235, 0.002, 0.002
0.238, 0.002, 0.001
0.245, 0.002, 0.002
0.237, 0.002, 0.002
0.239, 0.001, 0.002
0.241, 0.001, 0.002
0.235, 0.002, 0.002
0.243, 0.002, 0.002
0.239, 0.001, 0.002
0.243, 0.001, 0.002
0.242, 0.002, 0.002
0.236, 0.001, 0.002
0.234, 0.002, 0.002
0.24, 0.001, 0.002
0.236, 0.002, 0.001
0.237, 0.002, 0.001
0.234, 0.002, 0.002
0.245, 0.001, 0.002
0.235, 0.002, 0.002
0.241, 0.001, 0.002
0.236, 0.002, 0.002
0.238, 0.002, 0.001
0.235, 0.001, 0.002
0.235, 0.002, 0.002
0.235, 0.001, 0.002
0.243, 0.001, 0.002
0.235, 0.002, 0.002
0.234, 0.002, 0.002
0.236, 0.002, 0.002
0.235, 0.002, 0.002
0.236, 0.001, 0.002
0.242, 0.002, 0.001
0.238, 0.002, 0.002
0.252, 0.002, 0.002
0.236, 0.002, 0.001
0.236, 0.002, 0.002
0.234, 0.002, 0.001
0.236, 0.002, 0.002
0.235, 0.002, 0.002
0.241, 0.001, 0.002
0.234, 0.002, 0.001
0.238, 0.002, 0.002
0.242, 0.002, 0.002
0.238, 0.002, 0.001
0.236, 0.002, 0.001
0.236, 0.001, 0.002
0.236, 0.002, 0.002
0.238, 0.001, 0.002
0.237, 0.002, 0.001
0.236, 0.002, 0.002
0.243, 0.002, 0.002
0.24, 0.002, 0.002
0.236, 0.002, 0.002
0.235, 0.002, 0.001
0.242, 0.002, 0.001
0.237, 0.002, 0.002
0.234, 0.002, 0.002
0.238, 0.002, 0.002
0.236, 0.002, 0.002
0.235, 0.002, 0.002
0.243, 0.002, 0.002
0.235, 0.002, 0.002
0.237, 0.002, 0.002
0.24, 0.001, 0.002
0.237, 0.002, 0.002
0.238, 0.002, 0.001
0.242, 0.002, 0.001
0.241, 0.001, 0.002
0.236, 0.002, 0.001
0.236, 0.001, 0.002
0.237, 0.001, 0.002
0.241, 0.002, 0.002
0.235, 0.002, 0.002
0.237, 0.001, 0.002
0.235, 0.002, 0.001
0.235, 0.002, 0.001
0.236, 0.002, 0.002
0.241, 0.002, 0.002
0.239, 0.001, 0.002
0.236, 0.002, 0.001
0.236, 0.001, 0.002
0.242, 0.002, 0.002
0.243, 0.001, 0.002
0.236, 0.001, 0.002
0.236, 0.002, 0.001
0.236, 0.001, 0.002
0.24, 0.002, 0.001
0.234, 0.002, 0.002
0.242, 0.002, 0.002
0.242, 0.002, 0.002
0.239, 0.002, 0.002
0.237, 0.001, 0.002
0.246, 0.002, 0.002
0.235, 0.001, 0.002
0.239, 0.002, 0.001
0.243, 0.001, 0.002
0.236, 0.001, 0.002
0.241, 0.001, 0.002
0.237, 0.001, 0.002
0.238, 0.001, 0.001
0.236, 0.002, 0.002
0.234, 0.002, 0.002
0.235, 0.001, 0.002
0.236, 0.002, 0.002
0.236, 0.002, 0.002
0.235, 0.002, 0.002
0.237, 0.001, 0.002
0.236, 0.002, 0.002
0.236, 0.002, 0.002
0.237, 0.002, 0.002
0.235, 0.001, 0.002
0.244, 0.002, 0.002
0.235, 0.003, 0.002
0.235, 0.001, 0.002
0.235, 0.002, 0.002
0.236, 0.001, 0.002
0.235, 0.002, 0.002
0.236, 0.001, 0.002
0.236, 0.002, 0.002
0.236, 0.001, 0.002
0.235, 0.002, 0.002
0.241, 0.002, 0.001
0.238, 0.001, 0.002
0.235, 0.001, 0.002
0.242, 0.002, 0.002
0.239, 0.002, 0.001
0.235, 0.002, 0.003
0.237, 0.002, 0.002
0.241, 0.001, 0.002
0.239, 0.002, 0.002
0.237, 0.001, 0.002
0.235, 0.002, 0.001
0.244, 0.001, 0.002
0.238, 0.002, 0.002
0.237, 0.002, 0.001
0.259, 0.001, 0.002
0.237, 0.002, 0.002
0.239, 0.001, 0.002
0.242, 0.001, 0.002
0.238, 0.002, 0.002
0.235, 0.002, 0.001
0.236, 0.001, 0.002
0.24, 0.002, 0.001
0.236, 0.002, 0.001
0.235, 0.002, 0.002
0.235, 0.002, 0.002
0.238, 0.002, 0.002
0.236, 0.001, 0.002
0.235, 0.002, 0.002
0.238, 0.001, 0.002
0.239, 0.001, 0.002
0.236, 0.002, 0.002
0.237, 0.002, 0.001
0.236, 0.002, 0.002
0.235, 0.001, 0.002
0.234, 0.002, 0.002
0.237, 0.002, 0.002
0.236, 0.002, 0.002
0.237, 0.001, 0.002
0.235, 0.002, 0.002
0.24, 0.002, 0.001
0.236, 0.002, 0.002
0.236, 0.002, 0.001
0.238, 0.001, 0.002
0.236, 0.002, 0.002
0.236, 0.001, 0.002
0.236, 0.002, 0.002
